18488, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 32, 16, 5, 12, 36, 
19738, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 32, 16, 5, 12, 37, 
20987, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 31, 15, 5, 12, 39, 
22237, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 
23487, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 29, 13, 5, 12, 40, 
24737, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 28, 12, 7, 12, 41, 
25987, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 17, 5, 8, 16, 53, 
27237, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 
28487, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 
29737, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 15, 4, 8, 17, 57, 
